Phase,Epoch,Loss,Acc,F1,AUC,Precision,Recall,VRAM
train,10,0.693359375,0.5,0.0,0.5,0.0,0.0,311.9541015625
validation,10,0.693359375,0.5,0.0,0.5,0.0,0.0,309.13916015625
